x,Incomes growth,Cost inflation,Discount factor
1.0,1.0,1.01,0.9665571235260004
2.0,1.0,1.0201,0.934232673038856
3.0,1.0,1.0303010000000001,0.9029892451564432
4.0,1.0,1.04060401,0.8727906873733261
5.0,1.0,1.0510100501000001,0.8436020562278428
6.0,1.05,1.0615201506010001,0.815389576868203
7.0,1.05,1.07213535210701,0.7881206039708128
8.0,1.05,1.0828567056280802,0.7617635839656031
9.0,1.05,1.0936852726843609,0.7362880185246502
10.0,1.05,1.1046221254112045,0.7116644292718444
11.0,1.1025,1.1156683466653166,0.6878643236727666
12.0,1.1025,1.1268250301319698,0.6648601620653071
13.0,1.1025,1.1380932804332895,0.6426253257928737
14.0,1.1025,1.1494742132376226,0.6211340864033188
15.0,1.1025,1.1609689553699987,0.600361575877942
16.0,1.1576250000000001,1.1725786449236988,0.5802837578561203
17.0,1.1576250000000001,1.1843044313729356,0.5608773998222698
18.0,1.1576250000000001,1.196147475686665,0.5421200462229556
19.0,1.1576250000000001,1.2081089504435316,0.5239899924830423
20.0,1.1576250000000001,1.220190039947967,0.50646625989082
21.0,1.2155062500000002,1.2323919403474468,0.4895285713230427
22.0,1.2155062500000002,1.2447158597509211,0.4731573277817927
23.0,1.2155062500000002,1.2571630183484304,0.45733358571601845
24.0,1.2155062500000002,1.2697346485319148,0.4420390351015064
25.0,1.2155062500000002,1.2824319950172338,0.42725597825392075
26.0,1.2762815625000004,1.2952563149674063,0.412967309350397
27.0,1.2762815625000004,1.3082088781170804,0.39915649463599173
28.0,1.2762815625000004,1.321290966898251,0.38580755329208555
29.0,1.2762815625000004,1.3345038765672337,0.37290503894460236
30.0,1.2762815625000004,1.347848915332906,0.360434021790646
31.0,1.3400956406250004,1.3613274044862351,0.3483800713228746
32.0,1.3400956406250004,1.3749406785310974,0.3367292396316205
33.0,1.3400956406250004,1.3886900853164084,0.32546804526543643
34.0,1.3400956406250004,1.4025769861695725,0.31458345763139034
35.0,1.3400956406250004,1.4166027560312682,0.30406288191706005
36.0,1.4071004226562505,1.430768783591581,0.2938941445167795
37.0,1.4071004226562505,1.4450764714274968,0.28406547894527306
38.0,1.4071004226562505,1.4595272361417717,0.27456551222237874
39.0,1.4071004226562505,1.4741225085031895,0.26538325171310534
40.0,1.4071004226562505,1.4888637335882213,0.2565080724077956
41.0,1.477455443789063,1.5037523709241036,0.24792970462767797
42.0,1.477455443789063,1.5187898946333447,0.23963822214157932
43.0,1.477455443789063,1.5339777935796781,0.2316240306800496
44.0,1.477455443789063,1.549317571515475,0.2238778568336068
45.0,1.477455443789063,1.5648107472306296,0.21639073732225675
46.0,1.5513282159785162,1.580458854702936,0.20915400862387082
47.0,1.5513282159785162,1.5962634432499654,0.20215929694942086
48.0,1.5513282159785162,1.612226077682465,0.1953985085534708
49.0,1.5513282159785162,1.6283483384592896,0.18886382036871333
50.0,1.5513282159785162,1.6446318218438827,0.1825476709537148
51.0,1.628894626777442,1.6610781400623216,0.17644275174339338
52.0,1.628894626777442,1.6776889214629447,0.1705419985921065
53.0,1.628894626777442,1.694465810677574,0.1648385835995617
54.0,1.628894626777442,1.7114104687843499,0.1593259072100925
55.0,1.628894626777442,1.7285245734721935,0.15399759057615744
56.0,1.7103393581163142,1.7458098192069154,0.14884746817722544
57.0,1.7103393581163142,1.7632679173989845,0.1438695806855069
58.0,1.7103393581163142,1.7809005965729745,0.13905816807027538
59.0,1.7103393581163142,1.7987096025387042,0.1344076629328005
60.0,1.7103393581163142,1.8166966985640913,0.12991268406417988
